Date,count,type
3/27/2020,85356,Total cases
3/27/2020,1246,Total deaths
3/31/2020,163539,Total cases
3/31/2020,2860,Total deaths
4/1/2020,186101,Total cases
4/1/2020,3603,Total deaths
4/2/2020,213144,Total cases
4/2/2020,4513,Total deaths
4/10/2020,459165,Total cases
4/10/2020,16570,Total deaths
4/13/2020,554849,Total cases
4/13/2020,21942,Total deaths
4/14/2020,579005,Total cases
4/14/2020,22252,Total deaths
4/15/2020,605390,Total cases
4/15/2020,24582,Total deaths
4/16/2020,"632,548",Total cases
4/16/2020,"31,071",Total deaths
4/17/2020,661712,Total cases
4/17/2020,33049,Total deaths
4/21/2020,776093,Total cases
4/21/2020,41758,Total deaths
4/22/2020,802583,Total cases
4/22/2020,44575,Total deaths
