Date,count,location,rate
4/9/2020,22,LITTLE ARMENIA,274.14
4/9/2020,31,CRESTVIEW,272.7
4/9/2020,45,HANCOCK PARK,264.1
4/9/2020,20,BEL AIR,237.28
4/9/2020,168,MELROSE,216.23
4/9/2020,26,BEVERLY CREST,207.58
4/9/2020,28,CARTHAY,194.95
4/9/2020,20,SOUTH CARTHAY,188.77
4/9/2020,8,MARINA PENINSULA,183.49
4/9/2020,15,ADAMS-NORMANDIE,182.88
4/9/2020,23,CENTURY CITY,179.8
4/9/2020,52,BRENTWOOD,167.99
4/9/2020,14,VICTORIA PARK,166.69
4/9/2020,109,HOLLYWOOD,159.7
4/9/2020,7,SHADOW HILLS,157.59
4/9/2020,12,VERMONT SQUARE,156.72
4/9/2020,43,HOLLYWOOD HILLS,146.09
4/9/2020,31,PACIFIC PALISADES,145.6
4/9/2020,64,SILVERLAKE,145.18
4/9/2020,19,BEVERLYWOOD,144.23
4/9/2020,21,MID-CITY,139.72
4/9/2020,44,GLASSELL PARK,139.22
4/9/2020,21,LEIMERT PARK,137.84
4/9/2020,6,LAFAYETTE SQUARE,131.61
4/9/2020,32,VALLEY VILLAGE,129.45
4/9/2020,38,TARZANA,123.07
4/9/2020,8,RANCHO PARK,121.95
4/9/2020,11,CHEVIOT HILLS,119.94
4/9/2020,5,REYNIER VILLAGE,118.26
4/9/2020,50,PALMS,113.95
4/9/2020,30,WEST ADAMS,108.58
4/9/2020,5,RESEDA RANCH,107.85
4/9/2020,14,LAKEVIEW TERRACE,106.6
4/9/2020,19,MIRACLE MILE,105.64
4/9/2020,16,COUNTRY CLUB PARK,105.59
4/9/2020,86,SYLMAR,104.37
4/9/2020,21,SUNLAND,102.9
4/9/2020,22,STUDIO CITY,98.04
4/9/2020,44,ENCINO,97.41
4/9/2020,29,DEL REY,96.87
4/9/2020,29,VALLEY GLEN,96.62
4/9/2020,37,TEMPLE-BEAUDRY,93.71
4/9/2020,50,WEST VERNON,93.21
4/9/2020,35,WEST LOS ANGELES,93
4/9/2020,20,LOS FELIZ,92.56
